Timestamp,Temperature,Humidity,Light,SoilMoisturePercent,NeedsWater
2024-02-01 00:00:00,30.25,76.81,1,93,0
2024-02-01 00:30:00,27.83,79.09,1,93,0
2024-02-01 01:00:00,30.83,82.63,1,93,0
2024-02-01 01:30:00,27.59,76.17,1,93,0
2024-02-01 02:00:00,27.86,70.43,1,93,0
2024-02-01 02:30:00,28.72,72.38,1,92,0
2024-02-01 03:00:00,26.0,73.97,1,92,0
2024-02-01 03:30:00,26.0,84.02,1,92,0
2024-02-01 04:00:00,26.0,82.38,1,92,0
2024-02-01 04:30:00,26.0,85.0,1,91,0
2024-02-01 05:00:00,26.0,85.0,1,91,0
2024-02-01 05:30:00,26.0,82.3,1,91,0
2024-02-01 06:00:00,26.73,76.4,0,91,0
2024-02-01 06:30:00,29.67,85.0,0,91,0
2024-02-01 07:00:00,26.74,83.19,0,90,0
2024-02-01 07:30:00,26.0,74.41,0,90,0
2024-02-01 08:00:00,26.0,85.0,0,90,0
2024-02-01 08:30:00,26.0,82.5,0,90,0
2024-02-01 09:00:00,26.0,84.09,0,89,0
2024-02-01 09:30:00,27.54,85.0,0,89,0
2024-02-01 10:00:00,26.24,78.45,0,89,0
2024-02-01 10:30:00,26.0,85.0,0,89,0
2024-02-01 11:00:00,26.81,72.81,0,88,0
2024-02-01 11:30:00,29.72,80.28,0,88,0
2024-02-01 12:00:00,30.04,74.27,0,88,0
2024-02-01 12:30:00,31.74,79.19,0,88,0
2024-02-01 13:00:00,26.61,80.32,0,87,0
2024-02-01 13:30:00,28.41,81.42,0,87,0
2024-02-01 14:00:00,31.17,76.79,0,87,0
2024-02-01 14:30:00,30.32,78.72,0,87,0
2024-02-01 15:00:00,31.12,71.46,0,86,0
2024-02-01 15:30:00,33.0,79.76,0,86,0
2024-02-01 16:00:00,32.17,75.74,0,86,0
2024-02-01 16:30:00,33.0,74.05,0,85,0
2024-02-01 17:00:00,32.31,71.03,0,85,0
2024-02-01 17:30:00,33.0,71.21,0,85,0
2024-02-01 18:00:00,33.0,71.33,0,85,0
2024-02-01 18:30:00,32.91,71.05,0,84,0
2024-02-01 19:00:00,33.0,74.69,1,84,0
2024-02-01 19:30:00,31.95,79.69,1,84,0
2024-02-01 20:00:00,30.09,73.04,1,84,0
2024-02-01 20:30:00,33.0,71.01,1,83,0
2024-02-01 21:00:00,32.04,75.47,1,83,0
2024-02-01 21:30:00,32.84,73.93,1,83,0
2024-02-01 22:00:00,33.0,78.76,1,83,0
2024-02-01 22:30:00,30.3,81.92,1,83,0
2024-02-01 23:00:00,31.42,85.0,1,82,0
2024-02-01 23:30:00,29.8,80.82,1,82,0
2024-02-02 00:00:00,29.65,74.98,1,82,0
2024-02-02 00:30:00,29.51,75.67,1,82,0
2024-02-02 01:00:00,26.87,81.16,1,81,0
2024-02-02 01:30:00,29.4,77.99,1,81,0
2024-02-02 02:00:00,26.33,78.39,1,81,0
2024-02-02 02:30:00,26.96,82.78,1,81,0
2024-02-02 03:00:00,27.01,85.0,1,80,0
2024-02-02 03:30:00,26.18,80.01,1,80,0
2024-02-02 04:00:00,26.43,85.0,1,80,0
2024-02-02 04:30:00,27.98,77.49,1,79,0
2024-02-02 05:00:00,26.01,84.06,1,79,0
2024-02-02 05:30:00,26.0,85.0,1,79,0
2024-02-02 06:00:00,26.0,78.93,0,79,0
2024-02-02 06:30:00,26.0,76.42,0,79,0
2024-02-02 07:00:00,26.0,85.0,0,78,0
2024-02-02 07:30:00,26.0,76.68,0,78,0
2024-02-02 08:00:00,27.48,83.89,0,78,0
2024-02-02 08:30:00,26.0,82.56,0,78,0
2024-02-02 09:00:00,26.0,76.96,0,77,0
2024-02-02 09:30:00,27.99,79.84,0,77,0
2024-02-02 10:00:00,27.52,85.0,0,77,0
2024-02-02 10:30:00,26.0,79.83,0,76,0
2024-02-02 11:00:00,26.86,81.21,0,76,0
2024-02-02 11:30:00,28.28,82.5,0,76,0
2024-02-02 12:00:00,28.23,70.0,0,75,0
2024-02-02 12:30:00,28.11,74.94,0,75,0
2024-02-02 13:00:00,30.8,78.13,0,75,0
2024-02-02 13:30:00,30.88,72.16,0,74,0
